wikidata,department_label,commune_label
Q94484,Yvelines,Les Essarts-le-Roi
Q69211,Côte-d'Or,Talmay
Q94407,Yonne,Courtoin
Q81954,Somme,Ercheu
Q122993,Haut-Rhin,Saint-Bernard
Q71039,Morbihan,Inguiniel
Q123155,Haut-Rhin,Largitzen
Q94549,Yonne,Domecy-sur-le-Vault
Q81909,Charente-Maritime,Royan
Q69083,Somme,Domléger-Longvillers
Q70974,Morbihan,Missiriac
Q122984,Haut-Rhin,Lapoutroie
Q94272,Yonne,Champlost
Q81974,Somme,Épagne-Épagnette
Q81992,Somme,Épehy
Q122937,Haut-Rhin,Saint-Cosme
Q81941,Somme,Estrébœuf
Q71044,Morbihan,Larmor-Plage
Q70886,Morbihan,Languidic
Q81996,Somme,Englebelmer
Q70925,Morbihan,Carnac
Q69213,Côte-d'Or,Vielverge
Q69089,Somme,Douilly
Q69075,Somme,Dromesnil
Q82003,Somme,Estrées-Deniécourt
Q71034,Morbihan,Lanvaudan
Q69055,Somme,Doullens
Q94709,Yvelines,Lévis-Saint-Nom
Q123165,Haut-Rhin,Kœstlach
Q123039,Haut-Rhin,Kirchberg
Q71028,Morbihan,Hœdic
Q71043,Morbihan,Campénéac
Q69210,Côte-d'Or,Soissons-sur-Nacey
Q94806,Yonne,Dissangis
Q71088,Morbihan,Monterblanc
Q82079,Somme,Équennes-Éramecourt
Q123639,Haut-Rhin,Urschenheim
Q94918,Yonne,Collan
Q70901,Morbihan,Camors
Q71101,Morbihan,Férel
Q123146,Somme,Falvy
Q69288,Morbihan,Cournon
Q82010,Somme,Essertaux
Q71048,Morbihan,Landaul
Q103452,Côte-d'Or,Boussenois
Q123656,Haut-Rhin,Magstatt-le-Bas
Q82095,Somme,Esclainvillers
Q82047,Somme,Épénancourt
Q103455,Côte-d'Or,Orville
Q94854,Yonne,Diges
Q94883,Yonne,Cheney
Q123191,Haut-Rhin,Kruth
Q82124,Somme,Ercourt
Q69212,Côte-d'Or,Tellecey
Q94766,Yonne,Chassignelles
Q82068,Somme,Esmery-Hallon
Q103454,Côte-d'Or,Foncegrive
Q71070,Orne,Aunou-le-Faucon
Q69533,Morbihan,Caudan
Q94956,Yonne,Coulangeron
Q82023,Somme,Ennemain
Q69555,Morbihan,Gestel
Q82062,Somme,Épécamps
Q69527,Morbihan,Colpo
Q82064,Somme,Eppeville
Q123691,Haut-Rhin,Merxheim
Q69284,Morbihan,Guidel
Q69933,Morbihan,Noyal-Muzillac
Q71307,Morbihan,Camoël
Q123667,Haut-Rhin,Malmerspach
Q82120,Somme,Éplessier
Q123645,Haut-Rhin,Magstatt-le-Haut
Q123643,Haut-Rhin,Lautenbach
Q82395,Somme,Estrées-lès-Crécy
Q69497,Morbihan,Damgan
Q123681,Haut-Rhin,Magny
Q71391,Morbihan,Le Guerno
Q69292,Morbihan,Caden
Q71098,Morbihan,Locmalo
Q69919,Morbihan,Guénin
Q69508,Morbihan,Guilliers
Q71283,Morbihan,Crach
Q103457,Côte-d'Or,Selongey
Q103458,Côte-d'Or,Vernois-lès-Vesvres
Q103456,Côte-d'Or,Sacquenay
Q71300,Morbihan,La Grée-Saint-Laurent
Q123172,Haut-Rhin,Kunheim
Q123183,Haut-Rhin,Liebsdorf
Q71343,Morbihan,Nivillac
Q69990,Morbihan,Guer
Q71094,Morbihan,Lauzach
Q69915,Morbihan,Moustoir-Ac
Q124133,Haut-Rhin,Lautenbachzell
Q103453,Côte-d'Or,Chazeuil
Q123187,Haut-Rhin,Leimbach
Q71331,Morbihan,Langonnet
Q82389,Somme,Estrées-Mons
Q71115,Morbihan,Locoal-Mendon
Q123672,Haut-Rhin,Labaroche
Q103460,Côte-d'Or,Véronnes
Q71417,Morbihan,Kergrist
Q70013,Somme,Doingt
Q82131,Somme,Ergnies
Q71216,Morbihan,Gourin
Q71398,Morbihan,Guéhenno
Q104295,Aisne,Voulpaix
Q112683,Yvelines,Saint-Cyr-l'École
Q71329,Morbihan,Guégon
Q69601,Morbihan,Elven
Q112715,Dordogne,Saint-Martial-de-Valette
Q69560,Morbihan,Guern
Q124126,Haut-Rhin,Kingersheim
Q107501,Val-d'Oise,Sarcelles
Q71503,Morbihan,Hennebont
Q82185,Charente-Maritime,La Rochelle
Q113274,Haute-Saône,Senargent-Mignafans
Q104431,Alpes-de-Haute-Provence,Forcalquier
Q124120,Haut-Rhin,Lutter
Q124145,Haut-Rhin,Ligsdorf
Q71469,Somme,Corbie
Q83242,Haut-Rhin,Sainte-Croix-aux-Mines
Q71481,Morbihan,Langoëlan
Q83245,Haut-Rhin,Kappelen
Q114014,Ardèche,Mézilhac
Q124136,Haut-Rhin,Kœtzingue
Q71356,Morbihan,Île-aux-Moines
Q124123,Haut-Rhin,Kiffis
Q124107,Haut-Rhin,Lièpvre
Q83246,Haut-Rhin,Sainte-Croix-en-Plaine
Q124160,Haut-Rhin,Luttenbach-près-Munster
Q71500,Morbihan,Josselin
Q70050,Morbihan,Muzillac
Q83240,Haut-Rhin,Jungholtz
Q113690,Finistère,Collorec
Q114452,Aude,Fitou
Q70176,Morbihan,Meslan
Q83305,Haut-Rhin,Hombourg
Q83236,Haute-Savoie,Chamonix-Mont-Blanc
Q111926,Gard,Garons
Q70024,Somme,Dompierre-Becquincourt
Q113533,Haute-Saône,Fretigney-et-Velloreille
Q70055,Somme,Doudelainville
Q127846,Yonne,Perrigny
Q124167,Haut-Rhin,Linsdorf
Q124172,Haut-Rhin,Lutterbach
Q113314,Haute-Saône,Belfahy
Q71570,Morbihan,Mohon
Q124178,Haut-Rhin,Linthal
Q83243,Haut-Rhin,Jebsheim
Q71422,Morbihan,Kerfourn
Q70080,Somme,Domqueur
Q115359,Somme,Rosières-en-Santerre
Q114877,Essonne,Bièvres
Q124152,Haut-Rhin,Lauw
Q70106,Somme,Cottenchy
Q83411,Haut-Rhin,Houssen
Q83248,Haut-Rhin,Jettingen
Q70074,Somme,Domart-sur-la-Luce
Q124597,Haut-Rhin,Villars-le-Sec
Q124597,Territoire de Belfort,Villars-le-Sec
Q71573,Morbihan,Landévant
Q69996,Morbihan,Erdeven
Q83237,Haut-Rhin,Katzenthal
Q124299,Doubs,Bretigney
Q124318,Corrèze,Veyrières
Q71535,Morbihan,Lanester
Q115426,Somme,Moreuil
Q83412,Haut-Rhin,Horbourg-Wihr
Q70086,Morbihan,Groix
Q83417,Yvelines,Bois-d'Arcy
Q127848,Morbihan,Moréac
Q124263,Haut-Rhin,Liebenswiller
Q83251,Haut-Rhin,Issenheim
Q71579,Morbihan,Molac
Q113967,Morbihan,Plouray
Q83402,Haut-Rhin,Husseren-Wesserling
Q127874,Morbihan,Plouharnel
Q83415,Haut-Rhin,Huningue
Q83416,Haut-Rhin,Hundsbach
Q124258,Haut-Rhin,Leymen
Q83403,Haut-Rhin,Illhaeusern
Q83413,Haut-Rhin,Illfurth
Q71663,Morbihan,Le Hézo
Q124868,Yonne,L'Isle-sur-Serein
Q116612,Cher,Marseilles-lès-Aubigny
Q114680,Alpes-Maritimes,Rigaud
Q116192,Jura,La Chaumusse
Q126094,Loir-et-Cher,Thésée
Q126283,Haut-Rhin,Saint-Hippolyte
Q71661,Morbihan,Inzinzac-Lochrist
Q127862,Morbihan,Sainte-Anne-d'Auray
Q125777,Haut-Rhin,Boron
Q125777,Territoire de Belfort,Boron
Q117427,Haute-Saône,Chemilly
Q71657,Morbihan,Locmariaquer
Q71576,Morbihan,Merlevenez
Q116568,Haute-Saône,Frasne-le-Château
Q71582,Morbihan,Île-d'Houat
Q71612,Morbihan,Locmaria-Grand-Champ
Q127953,Yonne,Thorey
Q115476,Eure,Lyons-la-Forêt
Q83419,Yvelines,Beynes
Q127901,Yonne,Saint-Maurice-le-Vieil
Q127891,Morbihan,Trédion
Q83423,Yvelines,Boissets
Q116596,Eure,Saint-Éloi-de-Fourques
Q117438,Bouches-du-Rhône,Bouc-Bel-Air
Q71630,Morbihan,Montertelot
Q125278,Meurthe-et-Moselle,Saint-Nicolas-de-Port
Q71675,Morbihan,Concoret
Q83409,Haut-Rhin,Husseren-les-Châteaux
Q127965,Morbihan,Ploërdut
Q115154,Haute-Savoie,Cusy
Q71672,Morbihan,Brignac
Q127875,Yonne,Sery
Q83432,Yvelines,Viroflay
Q125184,Haut-Rhin,Levoncourt
Q117447,Oise,Rosoy-en-Multien
Q71679,Morbihan,Kervignac
Q127954,Morbihan,Saint-Marcel
Q127932,Morbihan,Saint-Gildas-de-Rhuys
Q126859,Morbihan,Saint-Barthélemy
Q127926,Yonne,Fontaine-la-Gaillarde
Q71689,Morbihan,Cléguer
Q126869,Morbihan,Pénestin
Q127967,Yonne,Villiers-Vineux
Q83430,Yvelines,Autouillet
Q117547,Yonne,Chichery
Q71666,Morbihan,Calan
Q126549,Vosges,Nonville
Q117462,Yonne,Censy
Q127994,Morbihan,Sainte-Brigitte
Q83429,Yvelines,Boinville-le-Gaillard
Q126318,Hautes-Pyrénées,Uz
Q117491,Yonne,Coulours
Q126969,Dordogne,Villefranche-de-Lonchat
Q83427,Yvelines,Bazainville
Q126668,Oise,Senlis
Q71692,Morbihan,Noyal-Pontivy
Q127957,Morbihan,Le Sourn
Q127971,Morbihan,Persquen
Q71724,Morbihan,Lorient
Q117551,Yonne,Champs-sur-Yonne
Q117106,Haute-Saône,Bourguignon-lès-Conflans
Q71669,Morbihan,Gâvres
Q126917,Morbihan,Saint-Armel
Q117480,Yonne,Cuy
Q127126,Morbihan,Sainte-Hélène
Q71713,Morbihan,Île-d'Arz
Q127952,Morbihan,Saint-Pierre-Quiberon
Q127981,Morbihan,Pleugriffet
Q128005,Morbihan,Réguiny
Q71701,Morbihan,Cléguérec
Q83441,Yvelines,Bennecourt
Q127215,Morbihan,Saint-Philibert
Q117499,Yonne,Domats
Q126898,Alpes-Maritimes,Antibes
Q83447,Yvelines,Bazoches-sur-Guyonne
Q83420,Yvelines,Blaru
Q83439,Yvelines,Bailly
Q127183,Morbihan,Guillac
Q127163,Morbihan,Locminé
Q127999,Yonne,Flogny-la-Chapelle
Q128000,Morbihan,Roudouallec
Q126991,Isère,Saint-Maximin
Q72013,Charente-Maritime,Sainte-Soulle
Q71710,Morbihan,Locmaria
Q128043,Morbihan,Saint-Avé
Q119767,Territoire de Belfort,Auxelles-Bas
Q119815,Somme,Flaucourt
Q117804,Mayenne,Renazé
Q83433,Yvelines,Boinvilliers
Q83465,Yvelines,La Boissière-École
Q128006,Yonne,Montacher-Villegardin
Q128009,Morbihan,Saint-Tugdual
Q128018,Morbihan,La Trinité-Surzur
Q128021,Yonne,Santigny
Q120035,Somme,Ferrières
Q71735,Morbihan,Loyat
Q119742,Somme,Ételfay
Q83435,Yvelines,Béhoust
Q83450,Yvelines,Voisins-le-Bretonneux
Q83452,Yvelines,Boinville-en-Mantois
Q119236,Jura,Jeurre
Q72248,Val-de-Marne,Vitry-sur-Seine
Q83461,Yvelines,Villiers-le-Mahieu
Q117709,Somme,Forest-Montiers
Q120274,Finistère,Roscanvel
Q83446,Yvelines,Bazemont
Q117629,Doubs,Rigney
Q119887,Somme,Étricourt-Manancourt
Q127977,Yonne,Trichey
Q71742,Morbihan,Meucon
Q72220,Charente-Maritime,Angoulins
Q83918,Landes,Vielle-Saint-Girons
Q127243,Morbihan,Le Saint
Q72234,Charente-Maritime,Châtelaillon-Plage
Q83766,Haut-Rhin,Hunawihr
Q127505,Morbihan,Saint-Aignan
Q128025,Morbihan,Plescop
Q72240,Charente-Maritime,Aytré
Q74308,Somme,Montdidier
Q120807,Somme,Fescamps
Q128032,Morbihan,La Vraie-Croix
Q127775,Morbihan,Ploërmel
Q83482,Haut-Rhin,Kembs
Q83472,Yvelines,Villiers-Saint-Frédéric
Q83574,Yvelines,La Verrière
Q128071,Yonne,Saint-Cyr-les-Colons
Q89449,Côte-d'Or,Chanceaux
Q120250,Puy-de-Dôme,Plauzat
Q74802,Yonne,Bellechaume
Q128046,Yonne,Villebougis
Q83576,Yvelines,Le Mesnil-Saint-Denis
Q74780,Yonne,Bessy-sur-Cure
Q128068,Morbihan,Sauzon
Q128082,Yonne,Junay
Q83467,Yvelines,Villette
Q127278,Morbihan,Plouhinec
Q127343,Morbihan,Saint-Martin-sur-Oust
Q74814,Yonne,Bassou
Q89447,Côte-d'Or,Bligny-le-Sec
Q127365,Nord,Bissezeele
Q127451,Morbihan,Baden
Q120798,Somme,Fay
Q89451,Côte-d'Or,Curtil-Saint-Seine
Q74775,Yonne,Bussy-en-Othe
Q74786,Yonne,Butteaux
Q128054,Morbihan,Séglien
Q74641,Pas-de-Calais,Samer
Q120791,Somme,Embreville
Q128031,Yonne,Tissey
Q127714,Morbihan,Le Tour-du-Parc
Q127747,Morbihan,La Trinité-sur-Mer
Q121011,Somme,Étalon
Q127544,Morbihan,Rieux
Q119962,Somme,Éterpigny
Q120911,Somme,L'Étoile
Q74792,Yonne,Baon
Q128078,Morbihan,Séné
Q127573,Morbihan,Saint-Gorgon
Q127789,Yonne,Trucy-sur-Yonne
Q120341,Jura,Bletterans
Q89448,Côte-d'Or,Champagny
Q74809,Yonne,Beugnon
Q128100,Yonne,Jully
Q127482,Morbihan,La Chapelle-Neuve
Q89452,Côte-d'Or,Francheville
Q89453,Côte-d'Or,Frénois
Q127808,Morbihan,Questembert
Q120801,Somme,Fieffes-Montrelet
Q241592,Puy-de-Dôme,Montaigut-le-Blanc
Q227991,Meuse,Bonzée
Q120864,Somme,Favières
Q128095,Morbihan,Saint-Malo-de-Beignon
Q74797,Yonne,Bleigny-le-Carreau
Q121053,Somme,Fienvillers
Q189153,Hauts-de-Seine,Saint-Cloud
Q189158,Aude,Cuxac-d'Aude
Q241581,Hérault,Beaufort
Q127826,Morbihan,Saint-Jean-Brévelay
Q128123,Morbihan,Saint-Léry
Q128141,Morbihan,Néant-sur-Yvel
Q128113,Morbihan,Saint-Nicolas-du-Tertre
Q120971,Somme,Estrées-sur-Noye
Q189126,Aude,Labastide-Esparbairenque
Q128150,Morbihan,Plaudren
Q89455,Côte-d'Or,Léry
Q272472,Yvelines,Buchelay
Q127814,Yonne,Lucy-sur-Yonne
Q228366,Meuse,Brouennes
Q228042,Vosges,Hagnéville-et-Roncourt
Q228278,Calvados,Le Breuil-en-Bessin
Q89457,Côte-d'Or,Pellerey
Q189536,Vosges,Montmotier
Q189235,Vosges,Gigney
Q228274,Vosges,Bertrimoutier
Q127647,Morbihan,Caro
Q89456,Côte-d'Or,Panges
Q127796,Morbihan,Pluvigner
Q128083,Morbihan,Saint-Gravé
Q189579,Landes,Linxe
Q89454,Côte-d'Or,Lamargelle
Q228231,Meuse,Abaucourt-Hautecourt
Q189093,Vosges,Claudon
Q241575,Ain,Divonne-les-Bains
Q128117,Yonne,Serrigny
Q241628,Seine-et-Marne,Chalmaison
Q228478,Vosges,Balléville
Q127725,Corrèze,Eygurande
Q189143,Creuse,Banize
Q128182,Yonne,Saint-Martin-d'Ordon
Q241878,Seine-et-Marne,Orly-sur-Morin
Q241602,Hérault,Corneilhan
Q228468,Lot-et-Garonne,Cazideroque
Q272552,Hérault,Saint-Julien
Q272557,Allier,Tronget
Q272499,Allier,Chavenon
Q128193,Morbihan,Ploemel
Q241607,Puy-de-Dôme,Saint-Rémy-de-Chargnat
Q272478,Allier,Marcenat
Q128278,Morbihan,Pont-Scorff
Q241613,Hérault,Roujan
